id;fecha;valor;fecha_pago
1;2020-04-09T14:35:33;66735;2020-04-08T19:13:00
2;2020-04-08T20:31:26;25896;2020-04-09T08:37:22
3;2020-04-09T02:15:45;17222;2020-04-09T05:29:34
4;2020-04-09T02:00:53;97186;2020-04-09T06:31:48
5;2020-04-08T20:44:31;26606;2020-04-09T04:14:29
6;2020-04-09T07:07:47;87056;2020-04-09T07:12:04
7;2020-04-09T06:50:43;23235;2020-04-08T20:26:03
8;2020-04-09T11:34:48;11237;2020-04-09T02:10:03
9;2020-04-08T23:12:28;67822;2020-04-08T20:22:26
10;2020-04-09T11:49:59;99908;2020-04-08T16:38:47
